Key,English,German,Spanish,Portuguese,Bengali,Hindi,French,Japanese,Korean,Arabic
Clothes.DGDesk,"These stylish glasses are designed to add a touch of glamour and sophistication to any outfit. With their intricate detailing and unique shapes, they are perfect for special occasions or for making a fashion statement.",Diese stilvollen Brillen verleihen jedem Outfit einen Hauch von Glamour und Raffinesse. Mit ihren komplizierten Details und einzigartigen Formen eignen sie sich perfekt für besondere Anlässe oder für ein modisches Statement.,"Estas gafas elegantes están diseñadas para agregar un toque de glamour y sofisticación a cualquier atuendo. Con sus intrincados detalles y formas únicas, son perfectas para ocasiones especiales o para hacer una declaración de moda.","Esses óculos elegantes são projetados para adicionar um toque de glamour e sofisticação a qualquer roupa. Com seus complexos detalhes e formas únicas, elas são perfeitas para ocasiões especiais ou para fazer uma declaração de moda.","এই আড়ম্বরপূর্ণ চশমাগুলি কোনও পোশাকে গ্ল্যামার এবং পরিশীলনের স্পর্শ যুক্ত করার জন্য ডিজাইন করা হয়েছে। তাদের জটিল বিবরণ এবং অনন্য আকারগুলির সাথে, তারা বিশেষ অনুষ্ঠানের জন্য বা ফ্যাশন স্টেটমেন্ট করার জন্য উপযুক্ত।","इन स्टाइलिश चश्मे किसी भी संगठन में ग्लैमर और परिष्कार का एक स्पर्श जोड़ने के लिए डिज़ाइन किए गए हैं। उनके जटिल विवरण और अद्वितीय आकृतियों के साथ, वे विशेष अवसरों के लिए या एक फैशन स्टेटमेंट बनाने के लिए एकदम सही हैं।","Ces lunettes élégantes sont conçues pour ajouter une touche de glamour et de sophistication à n'importe quelle tenue. Avec leurs détails complexes et leurs formes uniques, ils sont parfaits pour des occasions spéciales ou pour faire une déclaration de mode.",これらのスタイリッシュなメガネは、あらゆる服に魅力と洗練されたタッチを追加するように設計されています。複雑なディテールとユニークな形状により、特別な機会やファッションの声明を出すのに最適です。,이 세련된 안경은 모든 복장에 매력과 정교함을 더하도록 설계되었습니다. 복잡한 디테일과 독특한 모양으로 특별한 행사 나 패션 진술을하기에 완벽합니다.,تم تصميم هذه النظارات الأنيقة لإضافة لمسة من السحر والتطور إلى أي جماعة. مع التفاصيل المعقدة والأشكال الفريدة ، فهي مثالية للمناسبات الخاصة أو لإدلاء بيان الموضة.
Clothes.DC,Denim cap,Denim Cap,Tapa de mezclilla,Cap,ডেনিম ক্যাপ,डेनिम कैप,Casquette en jean,デニムキャップ,데님 캡,غطاء الدنيم
Clothes.DCDesk,"This trendy denim cap is a fashionable accessory that adds a cool and casual touch to any outfit. Made from durable denim fabric, it features an adjustable strap for a comfortable fit and a classic curved brim. Whether you're running errands or going for a walk, this cap will keep you stylishly protected from the sun.","Diese trendige Denim -Kappe ist ein modisches Accessoire, das jedem Outfit eine coole und lässige Note verleiht. Es besteht aus haltbarem Jeansstoff und verfügt über einen verstellbaren Riemen für eine bequeme Passform und einen klassischen gekrümmten Krempe. Egal, ob Sie Besorgungen machen oder spazieren gehen, diese Kappe hält Sie stilvoll vor der Sonne.","Esta tamilla de mezclilla de moda es un accesorio de moda que agrega un toque genial e informal a cualquier atuendo. Hecho de tela de mezclilla duradera, presenta una correa ajustable para un ajuste cómodo y un borde curvo clásico. Ya sea que esté haciendo recados o camine, esta gorra lo mantendrá elegante protegido del sol.","Este limite de jeans da moda é um acessório da moda que adiciona um toque legal e casual a qualquer roupa. Feito de tecido de jeans durável, ele possui uma alça ajustável para um ajuste confortável e uma borda curva clássica. Esteja você fazendo recados ou dando um passeio, esse boné o manterá elegantemente protegido do sol.","এই ট্রেন্ডি ডেনিম ক্যাপটি একটি ফ্যাশনেবল আনুষাঙ্গিক যা কোনও পোশাকে একটি দুর্দান্ত এবং নৈমিত্তিক স্পর্শ যুক্ত করে। টেকসই ডেনিম ফ্যাব্রিক থেকে তৈরি, এটিতে একটি আরামদায়ক ফিটের জন্য একটি সামঞ্জস্যযোগ্য স্ট্র্যাপ এবং একটি ক্লাসিক বাঁকানো ব্রিম রয়েছে। আপনি কাজ চালিয়ে যাচ্ছেন বা বেড়াতে যাচ্ছেন না কেন, এই ক্যাপটি আপনাকে সূর্য থেকে আড়ম্বরপূর্ণভাবে সুরক্ষিত রাখবে।","यह ट्रेंडी डेनिम कैप एक फैशनेबल एक्सेसरी है जो किसी भी आउटफिट में एक शांत और आकस्मिक स्पर्श जोड़ता है। टिकाऊ डेनिम फैब्रिक से निर्मित, इसमें एक आरामदायक फिट और एक क्लासिक घुमावदार ब्रिम के लिए एक समायोज्य पट्टा है। चाहे आप काम कर रहे हों या टहलने के लिए जा रहे हों, यह टोपी आपको सूर्य से स्टाइलिश रूप से संरक्षित रखेगी।","Cette casquette en jean à la mode est un accessoire à la mode qui ajoute une touche cool et décontractée à toute tenue. Fabriqué en tissu en jean durable, il dispose d'une sangle réglable pour un ajustement confortable et un bord incurvé classique. Que vous fassiez des courses ou que vous vous promenez, ce capuchon vous gardera avec élégance du soleil.",このトレンディなデニムキャップは、あらゆる衣装にクールでカジュアルなタッチを追加するファッショナブルなアクセサリーです。耐久性のあるデニム生地から作られ、快適なフィット感と古典的な湾曲した縁のための調整可能なストラップが特徴です。あなたが用事をしているかどうかにかかわらず、このキャップはあなたを太陽からスタイリッシュに保護し続けます。,이 최신 유행 데님 캡은 모든 복장에 시원하고 캐주얼 한 터치를 더하는 세련된 액세서리입니다. 내구성있는 데님 패브릭으로 제작 된이 제품은 편안한 착용감과 클래식 곡선 형 가장자리를위한 조절 식 스트랩을 특징으로합니다. 심부름을하거나 산책하든이 모자는 태양으로부터 세련되게 보호됩니다.,هذا الغطاء الدنيم العصري هو ملحق عصري يضيف لمسة باردة وغير رسمية لأي جماعة. مصنوع من نسيج الدنيم المتين ، ويتميز بحزام قابل للتعديل لتناسب مريح وحافة منحنية كلاسيكية. سواء كنت تقوم بتشغيل المهمات أو الذهاب في نزهة على الأقدام ، فإن هذا الغطاء سيبقيك محميًا بشكل أنيق من الشمس.
Clothes.GB,Green bag,Grüne Tasche,Bolsa verde,Bolsa verde,সবুজ ব্যাগ,ग्रीन बैग,Sac vert,緑のバッグ,녹색 가방,كيس خضراء
Clothes.GBDesk,"This trendy green bag is both practical and fashionable. It features a spacious interior, multiple compartments, and a sturdy strap for easy carrying. The vibrant green color adds a pop of color to any outfit, making it a versatile accessory for everyday use.","Diese trendige grüne Tasche ist sowohl praktisch als auch modisch. Es verfügt über einen geräumigen Innenraum, mehrere Fächer und einen robusten Gurt zum einfachen Tragen. Die lebendige grüne Farbe verleiht jedem Outfit einen Farbtupfer und macht sie zu einem vielseitigen Zubehör für den täglichen Gebrauch.","Esta moderna bolsa verde es práctica y de moda. Cuenta con un interior espacioso, compartimentos múltiples y una correa resistente para facilitar el transporte. El vibrante color verde agrega un toque de color a cualquier atuendo, lo que lo convierte en un accesorio versátil para el uso diario.","Esta bolsa verde moderna é prática e elegante. Possui um interior espaçoso, vários compartimentos e uma alça resistente para facilitar o transporte. A cor verde vibrante adiciona um toque de cor a qualquer roupa, tornando -a um acessório versátil para uso diário.","এই ট্রেন্ডি গ্রিন ব্যাগ উভয়ই ব্যবহারিক এবং ফ্যাশনেবল। এটিতে একটি প্রশস্ত অভ্যন্তর, একাধিক বগি এবং সহজ বহন করার জন্য একটি শক্ত স্ট্র্যাপ বৈশিষ্ট্যযুক্ত। প্রাণবন্ত সবুজ রঙ যে কোনও পোশাকে রঙের একটি পপ যুক্ত করে, এটি প্রতিদিনের ব্যবহারের জন্য একটি বহুমুখী আনুষাঙ্গিক করে তোলে।","यह ट्रेंडी ग्रीन बैग व्यावहारिक और फैशनेबल दोनों है। इसमें एक विशाल इंटीरियर, कई डिब्बे और आसान ले जाने के लिए एक मजबूत पट्टा है। जीवंत हरा रंग किसी भी पोशाक में रंग का एक पॉप जोड़ता है, जिससे यह रोजमर्रा के उपयोग के लिए एक बहुमुखी गौण बन जाता है।","Ce sac vert tendance est à la fois pratique et à la mode. Il dispose d'un intérieur spacieux, de plusieurs compartiments et d'une sangle robuste pour le transport facile. La couleur verte vibrante ajoute une touche de couleur à n'importe quelle tenue, ce qui en fait un accessoire polyvalent pour un usage quotidien.",このトレンディなグリーンバッグは、実用的でファッショナブルです。広々としたインテリア、複数のコンパートメント、頑丈なストラップがあり、持ち運びが簡単です。鮮やかな緑色の色は、あらゆる衣装にポップな色を追加し、日常の使用に汎用性の高いアクセサリーになります。,"이 최신 유행의 녹색 가방은 실용적이고 유행입니다. 넓은 내부, 여러 구획 및 견고한 끈이있어 쉽게 운반 할 수 있습니다. 생생한 녹색은 모든 복장에 팝 컬러를 추가하여 일상적인 사용을위한 다양한 액세서리를 만듭니다.",هذه الحقيبة الخضراء العصرية عملية وعصرية. إنه يتميز بتصميم داخلي واسع ، مقصورات متعددة ، وحزام قوي لسهولة حمله. يضيف اللون الأخضر النابض بالحياة من موسيقى البوب ​​إلى أي ملابس ، مما يجعله ملحقًا متعدد الاستخدامات للاستخدام اليومي.
Clothes.GH,Green hoodie,Grüner Hoodie,Sudadera con capucha verde,Hoodie verde,সবুজ হুডি,ग्रीन हूडि,Sweat à capuche vert,グリーンパーカー,녹색 까마귀,هوديي الأخضر
Clothes.GHDesk,"This stylish green hoodie is a versatile piece that can be dressed up or down. Made from comfortable fabric, it features a hood, front pocket, and ribbed cuffs and hem. The fresh green color adds a pop of color to any outfit, making it a great choice for casual or sporty looks.","Dieser stilvolle grüne Hoodie ist ein vielseitiges Stück, das hoch oder runter gekleidet werden kann. Es besteht aus bequemem Stoff und verfügt über Kapuze, Fronttasche und gerippte Manschetten und Saum. Die frische grüne Farbe verleiht jedem Outfit einen Farbtupfer, was es zu einer guten Wahl für lässige oder sportliche Looks macht.","Esta elegante sudadera verde es una pieza versátil que se puede vestir hacia arriba o hacia abajo. Hecho de tela cómoda, presenta una capucha, bolsillo delantero y puños acanalados y dobladillo. El color verde fresco agrega un toque de color a cualquier atuendo, por lo que es una excelente opción para un aspecto casual o deportivo.","Este elegante moletom verde é uma peça versátil que pode ser vestida para cima ou para baixo. Feito de tecido confortável, possui um capuz, bolso dianteiro e punhos com nervuras e bainha. A cor verde fresca adiciona um toque de cor a qualquer roupa, tornando -a uma ótima opção para looks casuais ou esportivos.","এই আড়ম্বরপূর্ণ সবুজ হুডি একটি বহুমুখী টুকরা যা উপরে বা নীচে পোশাক পরে যেতে পারে। আরামদায়ক ফ্যাব্রিক থেকে তৈরি, এটিতে একটি হুড, সামনের পকেট এবং পাঁজরযুক্ত কাফ এবং হেম রয়েছে। তাজা সবুজ রঙ যে কোনও পোশাকে রঙের একটি পপ যুক্ত করে, এটি নৈমিত্তিক বা খেলাধুলার চেহারার জন্য দুর্দান্ত পছন্দ করে তোলে।","यह स्टाइलिश ग्रीन हूडि एक बहुमुखी टुकड़ा है जिसे ऊपर या नीचे तैयार किया जा सकता है। आरामदायक कपड़े से निर्मित, इसमें एक हुड, फ्रंट पॉकेट और रिब्ड कफ और हेम शामिल हैं। ताजा हरा रंग किसी भी पोशाक में रंग का एक पॉप जोड़ता है, जिससे यह आकस्मिक या स्पोर्टी लुक के लिए एक बढ़िया विकल्प बन जाता है।","Ce sweat à capuche vert élégant est une pièce polyvalente qui peut être habillée ou bas. Fabriqué à partir de tissu confortable, il dispose d'une capuche, d'une poche avant, de poignets côtelés et d'ourlet. La couleur verte fraîche ajoute une touche de couleur à n'importe quelle tenue, ce qui en fait un excellent choix pour les looks décontractés ou sportifs.",このスタイリッシュな緑のパーカーは、上下にドレスアップできる多才な作品です。快適な生地で作られており、フード、フロントポケット、リブ付きの袖口と裾があります。新鮮な緑色の色は、あらゆる衣装にポップな色を追加し、カジュアルまたはスポーティなルックスに最適です。,"이 세련된 녹색 까마귀는 옷을 입거나 아래로 옷을 입을 수있는 다재다능한 조각입니다. 편안한 직물로 만들어졌으며 후드, 앞 주머니 및 리브 커프와 밑단이 특징입니다. 신선한 녹색은 모든 복장에 팝 컬러를 추가하여 캐주얼하거나 스포티 한 외모에 적합한 선택입니다.",هذا هوديي الأخضر الأنيق هو قطعة متعددة الاستخدامات يمكن أن ترتدي ملابسها لأعلى أو لأسفل. مصنوع من نسيج مريح ، ويتميز بغطاء ، وجيب أمامي ، وأصفاد مضلعة وتنحنح. يضيف اللون الأخضر الطازج موسيقى البوب ​​إلى أي ملابس ، مما يجعله خيارًا رائعًا للمظهر غير الرسمي أو الرياضي.
Clothes.PH,Purple hoodie,Lila Hoodie,Sudadera con capucha púrpura,Hoodie roxo,বেগুনি হুডি,बैंगनी हूडि,Sweat à capuche violet,紫色のパーカー,보라색 까마귀,هوديي الأرجواني
Clothes.PHDesk,"This vibrant purple hoodie is a fun and trendy addition to your wardrobe. Made from soft and cozy fabric, it features a hood, front pocket, and ribbed cuffs and hem. The rich purple color adds a playful touch to any outfit, making it perfect for casual outings or lounging at home.","Dieser lebendige lila Hoodie ist eine lustige und trendige Ergänzung Ihrer Garderobe. Es besteht aus weichem und gemütlichem Stoff und verfügt über eine Kapuze, eine vordere Tasche und gerippte Manschetten und einen Saum. Die reiche lila Farbe verleiht jedem Outfit eine spielerische Note, die es perfekt für lässige Ausflüge oder zu Hause fauert.","Esta vibrante sudadera púrpura es una adición divertida y moderna a su guardarropa. Hecho de tela suave y acogedora, presenta una capucha, bolsillo delantero y puños acanalados y dobladillo. El rico color morado agrega un toque lúdico a cualquier atuendo, lo que lo hace perfecto para salidas casuales o descansando en casa.","Este capuz roxo vibrante é uma adição divertida e moderna ao seu guarda -roupa. Feito de tecido macio e aconchegante, possui um capô, bolso dianteiro e punhos com nervuras e bainha. A rica cor roxa adiciona um toque divertido a qualquer roupa, tornando -a perfeita para passeios casuais ou relaxar em casa.","এই প্রাণবন্ত বেগুনি হুডি আপনার পোশাকের জন্য একটি মজাদার এবং ট্রেন্ডি সংযোজন। নরম এবং আরামদায়ক ফ্যাব্রিক থেকে তৈরি, এটিতে একটি হুড, সামনের পকেট এবং পাঁজরযুক্ত কাফ এবং হেম রয়েছে। সমৃদ্ধ বেগুনি রঙ যে কোনও পোশাকে একটি কৌতুকপূর্ণ স্পর্শ যুক্ত করে, এটি নৈমিত্তিক আউটসিং বা বাড়িতে লাউংিংয়ের জন্য উপযুক্ত করে তোলে।","यह जीवंत बैंगनी हूडि आपकी अलमारी के लिए एक मजेदार और ट्रेंडी अतिरिक्त है। नरम और आरामदायक कपड़े से निर्मित, इसमें एक हुड, फ्रंट पॉकेट और रिब्ड कफ और हेम शामिल हैं। समृद्ध बैंगनी रंग किसी भी पोशाक में एक चंचल स्पर्श जोड़ता है, जिससे यह कैज़ुअल आउटिंग या घर पर लाउंज करने के लिए एकदम सही है।","Ce sweat à capuche violet vibrant est un ajout amusant et à la mode à votre garde-robe. Fabriqué en tissu doux et confortable, il dispose d'une capuche, d'une poche avant et de poignets côtelés et d'ourlet. La riche couleur violette ajoute une touche ludique à n'importe quelle tenue, ce qui le rend parfait pour les sorties décontractées ou se prélasser à la maison.",この鮮やかな紫色のパーカーは、ワードローブに楽しくてトレンディな追加です。柔らかくて居心地の良い生地で作られており、フード、フロントポケット、リブ付きの袖口と裾があります。豊かな紫色の色は、どんな衣装にも遊び心のあるタッチを追加し、カジュアルな外出や自宅でのくつろいに最適です。,"이 생생한 보라색 까마귀는 옷장에 재미 있고 트렌디 한 추가입니다. 부드럽고 아늑한 직물로 만든이 제품에는 후드, 앞 주머니 및 리브 커프와 밑단이 있습니다. 풍부한 자주색 색상은 모든 복장에 장난기 넘치는 터치를 추가하여 캐주얼 외출이나 집에서 어울리는 데 적합합니다.",هذا هوديي الأرجواني النابض بالحياة هو إضافة ممتعة وعصرية إلى خزانة ملابسك. مصنوع من نسيج ناعم ودافئ ، ويتميز بغطاء محرك وجيب أمامي وأصفاد مضلعة وتنحنح. يضيف اللون الأرجواني الغني لمسة مرحة إلى أي جماعة ، مما يجعله مثاليًا للنزهات غير الرسمية أو التسكع في المنزل.
Clothes.WS,White sneakers,Weiße Turnschuhe,Zapatillas blancas,Tênis branco,সাদা স্নিকার্স,सफेद स्नीकर्स,des baskettes blanches,白いスニーカー,흰색 운동화,أحذية رياضية بيضاء
Clothes.WSDesk,"These sleek white sneakers are a timeless and versatile footwear option. Made from high-quality materials, they feature a comfortable fit, durable sole, and stylish design. Whether you're going for a casual or sporty look, these sneakers will add a touch of sophistication to your outfit.","Diese schlanken weißen Turnschuhe sind eine zeitlose und vielseitige Schuhoption. Sie werden aus hochwertigen Materialien hergestellt und verfügen über eine komfortable Passform, eine langlebige Sohle und ein stilvolles Design. Egal, ob Sie einen ungezwungenen oder sportlichen Look haben, diese Sneaker verleihen Ihrem Outfit einen Hauch von Raffinesse.","Estas elegantes zapatillas blancas son una opción de calzado atemporal y versátil. Hechos de materiales de alta calidad, cuentan con un diseño cómodo, suela duradera y elegante. Ya sea que vaya por un aspecto informal o deportivo, estas zapatillas de deporte agregarán un toque de sofisticación a su atuendo.","Esses tênis brancos elegantes são uma opção de calçados atemporais e versáteis. Feito de materiais de alta qualidade, eles apresentam um ajuste confortável, sola durável e design elegante. Esteja você buscando uma aparência casual ou esportiva, esses tênis adicionarão um toque de sofisticação à sua roupa.","এই স্নিগ্ধ সাদা স্নিকারগুলি একটি নিরবধি এবং বহুমুখী পাদুকা বিকল্প। উচ্চমানের উপকরণ থেকে তৈরি, এগুলিতে একটি আরামদায়ক ফিট, টেকসই একমাত্র এবং আড়ম্বরপূর্ণ নকশা বৈশিষ্ট্যযুক্ত। আপনি কোনও নৈমিত্তিক বা খেলাধুলার চেহারার জন্য যাচ্ছেন না কেন, এই স্নিকারগুলি আপনার পোশাকে পরিশীলনের স্পর্শ যুক্ত করবে।","ये चिकना सफेद स्नीकर्स एक कालातीत और बहुमुखी फुटवियर विकल्प हैं। उच्च गुणवत्ता वाली सामग्रियों से निर्मित, वे एक आरामदायक फिट, टिकाऊ एकमात्र और स्टाइलिश डिजाइन की सुविधा देते हैं। चाहे आप एक आकस्मिक या स्पोर्टी लुक के लिए जा रहे हों, ये स्नीकर्स आपके आउटफिट में परिष्कार का एक स्पर्श जोड़ देंगे।","Ces baskets blanches élégantes sont une option de chaussures intemporelle et polyvalente. Fabriqués à partir de matériaux de haute qualité, ils présentent un ajustement confortable, une semelle durable et un design élégant. Que vous alliez pour un look décontracté ou sportif, ces baskets ajouteront une touche de sophistication à votre tenue.",これらの洗練された白いスニーカーは、時代を超越した多用途の履物のオプションです。高品質の素材で作られており、快適なフィット感、耐久性のあるソール、スタイリッシュなデザインが特徴です。カジュアルな外観であろうとスポーティな外観であろうと、これらのスニーカーは衣装に洗練されたタッチを追加します。,"이 매끄러운 흰색 운동화는 시대를 초월하고 다재다능한 신발 옵션입니다. 고품질 재료로 제작 된 편안한 착용감, 내구성있는 밑창 및 세련된 디자인이 특징입니다. 캐주얼이든 스포티 한 모양을하든이 운동화는 복장에 정교함을 더할 것입니다.",هذه الأحذية الرياضية البيضاء الأنيقة هي خيار أحذية خالدة ومتعددة الاستخدامات. مصنوعة من مواد عالية الجودة ، فهي تتميز بتصميم مريح ونعل متين وأنيق. سواء كنت ستذهب لإلقاء نظرة غير رسمية أو رياضية ، فإن هذه الأحذية الرياضية ستضيف لمسة من التطور إلى ملابسك.
